Location,MinTemp,MaxTemp,Rainfall,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Temp9am,Temp3pm,RainToday,Year,Month,DayOfMonth,DayOfWeek,Month_sin,Month_cos,Season,lag1_Rainfall,lag1_Humidity3pm,roll3_Rainfall,TempRange,LocationCluster
Richmond,16.8,26.0,0.0,SE,24.0,SSW,SSW,0.0,7.0,87.0,67.0,1012.6,1011.1,8.0,20.8,25.1,No,2013,3,14,3,1.0,6.123233995736766e-17,Autumn,0.0,42.0,0.0,9.2,C0
Bendigo,4.1,16.9,0.0,NNW,52.0,NNW,NW,17.0,30.0,74.0,45.0,1014.9,1011.4,0.0,9.6,16.3,No,2009,8,27,3,-0.8660254037844384,-0.5000000000000004,Winter,5.0,47.0,5.733333333333333,12.799999999999999,C0
PerthAirport,22.9,38.4,0.0,E,48.0,ENE,W,19.0,24.0,34.0,36.0,1014.4,1011.3,0.0,29.6,34.9,No,2017,2,19,6,0.8660254037844386,0.5000000000000001,Summer,0.0,26.0,0.0,15.5,C2
Wollongong,9.7,14.5,15.6,SSW,63.0,SW,SSW,28.0,31.0,92.0,86.0,1025.7,1026.2,7.0,10.1,12.8,Yes,2016,8,4,3,-0.8660254037844384,-0.5000000000000004,Winter,27.0,71.0,9.066666666666666,4.800000000000001,C1
Nuriootpa,7.5,24.3,0.0,SE,41.0,E,S,11.0,15.0,59.0,31.0,1023.5,1020.5,6.0,15.0,23.5,No,2014,11,26,2,-0.5000000000000004,0.8660254037844384,Spring,0.0,35.0,2.5333333333333314,16.8,C0
Dartmoor,8.1,17.5,0.4,WNW,41.0,NNW,WSW,7.0,19.0,99.0,94.0,1011.9,1009.2,5.0,10.7,13.3,No,2012,3,22,3,1.0,6.123233995736766e-17,Autumn,16.4,67.0,5.466666666666668,9.4,C3
PearceRAAF,19.3,38.1,0.0,SE,43.0,SE,ESE,24.0,19.0,43.0,25.0,1011.7,1008.8,4.0,28.5,37.3,No,2016,1,3,6,0.49999999999999994,0.8660254037844387,Summer,0.0,22.0,0.0,18.8,C2
Darwin,23.8,34.0,6.0,SE,41.0,ESE,WNW,11.0,19.0,74.0,48.0,1008.4,1005.9,5.0,28.0,33.6,Yes,2013,12,15,6,-2.4492935982947064e-16,1.0,Summer,17.6,57.0,6.4666666666666766,10.2,C4
BadgerysCreek,19.9,25.0,4.2,NNE,28.0,N,N,6.0,15.0,97.0,77.0,1003.5,999.1,5.0,20.9,24.9,Yes,2014,2,15,5,0.8660254037844386,0.5000000000000001,Summer,0.8,64.0,2.6666666666666643,5.100000000000001,C0
Melbourne,8.0,19.2,0.0,N,52.0,N,NNW,19.0,26.0,62.0,38.0,1020.3,1015.1,7.0,11.6,17.5,No,2011,8,28,6,-0.8660254037844384,-0.5000000000000004,Winter,0.0,38.0,0.0,11.2,C1
Uluru,8.1,20.3,0.0,SSE,35.0,SSE,S,20.0,17.0,66.0,37.0,1024.6,1020.1,7.0,13.3,19.2,No,2013,5,13,0,0.49999999999999994,-0.8660254037844387,Autumn,4.0,60.0,1.3333333333333333,12.200000000000001,C2
WaggaWagga,20.0,40.7,0.0,NNW,70.0,N,WNW,6.0,28.0,32.0,13.0,1009.9,1006.3,1.0,30.3,39.2,No,2011,2,1,1,0.8660254037844386,0.5000000000000001,Summer,0.0,21.0,0.0,20.700000000000003,C0
Nuriootpa,11.4,29.0,0.0,NNE,54.0,NNE,NNE,30.0,24.0,14.0,14.0,1019.5,1014.9,4.0,19.0,27.4,No,2012,10,23,1,-0.8660254037844386,0.5000000000000001,Spring,0.0,17.0,0.06666666666666489,17.6,C0
Portland,6.8,10.6,3.8,NNW,33.0,ENE,N,4.0,7.0,94.0,92.0,1005.2,1000.8,8.0,7.5,9.3,Yes,2012,6,21,3,1.2246467991473532e-16,-1.0,Winter,0.0,63.0,3.266666666666666,3.8,C3
Cobar,10.9,26.4,0.0,SE,30.0,ESE,S,13.0,11.0,40.0,21.0,1023.7,1020.3,1.0,16.5,24.7,No,2015,3,28,5,1.0,6.123233995736766e-17,Autumn,0.0,24.0,0.0,15.499999999999998,C2
Williamtown,12.2,24.0,0.0,SE,41.0,NNE,E,11.0,24.0,70.0,44.0,1027.5,1022.1,5.0,17.3,23.1,No,2014,10,22,2,-0.8660254037844386,0.5000000000000001,Spring,1.0,51.0,9.5,11.8,C1
